Column1,Count,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Services.Tenure in Months,Services.Offer,Services.Internet Type,Services.Premium Tech Support,Services.Streaming TV,Services.Streaming Movies,Services.Contract,Services.Payment Method,Services.Monthly Charge,Services.Total Charges,Services.Total Revenue,Status.Satisfaction Score,Status.Customer Status,Status.Churn Label,Status.Churn Value,Status.Churn Score,Status.CLTV,Status.Churn Category,Status.Churn Reason,Location.Country,Location.State,Location.City,Location.Zip Code,Location.Latitude,Location.Longitude,Population.Population,Age Group,Tenure Group,Churn Risk
8779-QRDMV,1,Male,78,No,Yes,No,No,0,1,None,DSL,No,No,Yes,Month-to-Month,Bank Withdrawal,39.65,39.65,59.65,3,Churned,Yes,1,91,5433,Competitor,Competitor offered more data,United States,California,Los Angeles,90022,34.02381,-118.156582,68701,60,New Customer,High
3217-FZDMN,1,Female,66,No,Yes,No,No,0,8,Offer E,Fiber Optic,No,Yes,Yes,Month-to-Month,Credit Card,94.45,742.95,784.63,1,Churned,Yes,1,83,3676,Competitor,Competitor had better devices,United States,California,Los Angeles,90001,33.973616,-118.24902,54492,60,New Customer,High
0136-IFMYD,1,Male,71,No,Yes,Yes,No,0,69,None,Fiber Optic,Yes,Yes,Yes,Two Year,Bank Withdrawal,109.95,7634.25,8904.54,5,Stayed,No,0,63,4297,,,United States,California,Los Angeles,90001,33.973616,-118.24902,54492,60,Long-term,Medium
7495-OOKFY,1,Female,74,No,Yes,Yes,Yes,1,8,Offer E,Fiber Optic,No,No,No,Month-to-Month,Credit Card,80.65,633.3,1024.1,3,Churned,Yes,1,69,5302,Competitor,Competitor made better offer,United States,California,Los Angeles,90063,34.044271,-118.185237,55668,60,New Customer,Medium
4918-FYJNT,1,Female,68,No,Yes,Yes,No,0,55,None,Fiber Optic,Yes,No,No,Two Year,Bank Withdrawal,90.45,5044.8,6283.02,4,Stayed,No,0,42,5140,,,United States,California,Los Angeles,90063,34.044271,-118.185237,55668,60,Long-term,Medium
5144-TVGLP,1,Male,68,No,Yes,No,No,0,38,None,Fiber Optic,No,Yes,Yes,Two Year,Bank Withdrawal,94.75,3653,5391.66,3,Stayed,No,0,71,3654,,,United States,California,Los Angeles,90002,33.949255,-118.246978,44586,60,Loyal,High
1658-BYGOY,1,Male,71,No,Yes,No,Yes,3,18,Offer D,Fiber Optic,No,Yes,Yes,Month-to-Month,Bank Withdrawal,95.45,1752.55,1910.88,2,Churned,Yes,1,81,3179,Competitor,Competitor made better offer,United States,California,Los Angeles,90065,34.108833,-118.229715,47534,60,Growing,High
4854-CIDCF,1,Female,74,No,Yes,No,No,0,3,None,Fiber Optic,No,No,No,Two Year,Bank Withdrawal,73.85,196.4,336.35,4,Joined,No,0,74,2868,,,United States,California,Los Angeles,90065,34.108833,-118.229715,47534,60,New Customer,High
9699-UBQFS,1,Female,76,No,Yes,Yes,No,0,43,None,Fiber Optic,No,Yes,No,Month-to-Month,Bank Withdrawal,94.5,4156.8,4314.18,3,Stayed,No,0,32,4745,,,United States,California,Los Angeles,90065,34.108833,-118.229715,47534,60,Loyal,Medium
3668-QPYBK,1,Male,37,No,No,No,No,0,2,None,DSL,No,No,No,Month-to-Month,Credit Card,53.85,108.15,129.09,1,Churned,Yes,1,86,3239,Competitor,Competitor made better offer,United States,California,Los Angeles,90003,33.964131,-118.272783,58198,31-45,New Customer,High
4598-XLKNJ,1,Female,78,No,Yes,Yes,Yes,1,25,Offer C,Fiber Optic,No,Yes,Yes,Month-to-Month,Bank Withdrawal,98.5,2514.5,2995.07,2,Churned,Yes,1,88,5337,Dissatisfaction,Limited range of services,United States,California,Inglewood,90303,33.936291,-118.332639,27778,60,Loyal,High
6925-BAYGL,1,Female,79,No,Yes,Yes,No,0,53,None,None,No,No,No,Two Year,Credit Card,25.1,1275.6,2284.19,3,Stayed,No,0,70,5295,,,United States,California,Inglewood,90303,33.936291,-118.332639,27778,60,Long-term,Medium
2452-MRMZF,1,Female,70,No,Yes,Yes,No,0,72,None,None,No,No,No,Two Year,Credit Card,25.7,1937.4,2547.96,3,Stayed,No,0,21,5079,,,United States,California,Inglewood,90303,33.936291,-118.332639,27778,60,Long-term,Low
9436-ZBZCT,1,Male,40,No,No,No,No,0,14,Offer D,Cable,Yes,Yes,No,Month-to-Month,Bank Withdrawal,89.95,1178.4,1579.5,2,Churned,Yes,1,90,5463,Attitude,Attitude of support person,United States,California,Inglewood,90303,33.936291,-118.332639,27778,31-45,Growing,High
7963-GQRMY,1,Female,19,Yes,No,Yes,No,0,3,Offer E,DSL,No,No,No,Month-to-Month,Credit Card,44.3,134.5,267.88,2,Churned,Yes,1,88,4903,Price,Extra data charges,United States,California,Los Angeles,90004,34.076259,-118.310715,67852,18-30,New Customer,High
4846-WHAFZ,1,Female,80,No,Yes,Yes,Yes,1,37,Offer C,Fiber Optic,No,No,No,Month-to-Month,Bank Withdrawal,76.5,2868.15,3102.36,2,Churned,Yes,1,67,2793,Price,Extra data charges,United States,California,Whittier,90602,33.972119,-118.020188,26265,60,Loyal,Medium
7480-QNVZJ,1,Male,65,No,Yes,No,No,0,50,None,Fiber Optic,No,Yes,Yes,Month-to-Month,Bank Withdrawal,95.7,4816.7,5762.7,3,Churned,Yes,1,73,4287,Dissatisfaction,Network reliability,United States,California,Los Angeles,90005,34.059281,-118.30742,43019,60,Long-term,High
9237-HQITU,1,Female,19,Yes,No,No,Yes,2,2,None,Fiber Optic,No,No,No,Month-to-Month,Bank Withdrawal,70.7,151.65,169.89,2,Churned,Yes,1,67,2701,Other,Moved,United States,California,Los Angeles,90005,34.059281,-118.30742,43019,18-30,New Customer,Medium
4412-YLTKF,1,Female,72,No,Yes,No,Yes,1,27,Offer C,Fiber Optic,No,No,No,Month-to-Month,Bank Withdrawal,78.05,2135.5,2235.41,1,Churned,Yes,1,95,4638,Competitor,Competitor had better devices,United States,California,Pico Rivera,90660,33.989524,-118.089299,63288,60,Loyal,High
9305-CDSKC,1,Female,31,No,No,No,Yes,2,8,None,Cable,No,Yes,Yes,Month-to-Month,Bank Withdrawal,99.65,820.5,917.7,3,Churned,Yes,1,86,5372,Other,Moved,United States,California,Los Angeles,90006,34.048013,-118.293953,62784,31-45,New Customer,High
0390-DCFDQ,1,Female,76,No,Yes,Yes,Yes,2,1,Offer E,Fiber Optic,No,No,No,Month-to-Month,Mailed Check,70.45,70.45,85.73,2,Churned,Yes,1,76,3964,Other,Don't know,United States,California,Los Alamitos,90720,33.79499,-118.065591,21343,60,New Customer,High
5996-NRVXR,1,Male,68,No,Yes,Yes,No,0,40,None,Fiber Optic,Yes,Yes,No,One Year,Credit Card,98.15,4116.8,4694.91,3,Stayed,No,0,53,4332,,,United States,California,Los Alamitos,90720,33.79499,-118.065591,21343,60,Loyal,Medium
9885-CSMWE,1,Female,65,No,Yes,No,No,0,1,Offer E,Fiber Optic,No,Yes,No,Month-to-Month,Bank Withdrawal,78.45,78.45,96.82,1,Churned,Yes,1,67,2139,Dissatisfaction,Product dissatisfaction,United States,California,Los Angeles,90007,34.027337,-118.28515,45025,60,New Customer,Medium
1228-FZFRV,1,Male,37,No,No,Yes,No,0,50,None,Fiber Optic,No,Yes,Yes,Month-to-Month,Credit Card,105.95,5341.8,6385.8,1,Churned,Yes,1,79,5536,Price,Extra data charges,United States,California,Los Angeles,90007,34.027337,-118.28515,45025,31-45,Long-term,High
3445-HXXGF,1,Male,66,No,Yes,Yes,No,0,58,Offer B,DSL,No,No,Yes,Month-to-Month,Bank Withdrawal,45.3,2651.2,2610.25,1,Churned,Yes,1,91,5444,Dissatisfaction,Service dissatisfaction,United States,California,Sierra Madre,91024,34.168686,-118.057505,10558,60,Long-term,High
4840-ORQXB,1,Female,67,No,Yes,No,No,0,56,None,Fiber Optic,No,Yes,Yes,Two Year,Bank Withdrawal,104.75,5841.35,7352.67,3,Stayed,No,0,35,5128,,,United States,California,Sierra Madre,91024,34.168686,-118.057505,10558,60,Long-term,Medium
6120-RJKLU,1,Female,69,No,Yes,Yes,No,0,62,Offer B,DSL,Yes,Yes,Yes,Two Year,Credit Card,79.95,4819.75,6346.19,4,Stayed,No,0,54,6488,,,United States,California,Sierra Madre,91024,34.168686,-118.057505,10558,60,Long-term,Medium
2656-FMOKZ,1,Female,70,No,Yes,No,Yes,2,15,Offer D,Fiber Optic,No,No,No,Month-to-Month,Mailed Check,74.45,1145.7,1806.75,2,Churned,Yes,1,91,5717,Dissatisfaction,Limited range of services,United States,California,Pasadena,91106,34.139402,-118.128658,23742,60,Growing,High
7892-POOKP,1,Female,23,Yes,No,Yes,Yes,3,28,Offer C,Fiber Optic,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,104.8,3046.05,3182.97,3,Churned,Yes,1,84,5003,Other,Moved,United States,California,Los Angeles,90010,34.062125,-118.315709,1957,18-30,Loyal,High
2070-FNEXE,1,Female,77,No,Yes,No,Yes,2,7,Offer E,Fiber Optic,No,No,No,Month-to-Month,Bank Withdrawal,76.45,503.6,681.2,2,Churned,Yes,1,81,4419,Price,Lack of affordable download/upload speed,United States,California,Pasadena,91107,34.159007,-118.087353,32369,60,New Customer,High
6892-XPFPU,1,Male,70,No,Yes,Yes,No,0,24,Offer C,Fiber Optic,No,Yes,Yes,Month-to-Month,Bank Withdrawal,104.25,2433.9,3628.14,1,Churned,Yes,1,80,2104,Competitor,Competitor offered higher download speeds,United States,California,Pasadena,91107,34.159007,-118.087353,32369,60,Growing,High
3761-FLYZI,1,Female,69,No,Yes,Yes,No,0,65,None,Fiber Optic,No,Yes,Yes,Two Year,Bank Withdrawal,108.8,7082.45,10215.38,5,Stayed,No,0,64,5225,,,United States,California,Los Angeles,90011,34.00709,-118.258681,101215,60,Long-term,Medium
0094-OIFMO,1,Female,78,No,Yes,No,Yes,1,11,Offer D,Fiber Optic,No,Yes,Yes,Month-to-Month,Bank Withdrawal,95,1120.3,1367.79,1,Churned,Yes,1,85,5980,Dissatisfaction,Product dissatisfaction,United States,California,North Hollywood,91605,34.207295,-118.400022,57146,60,New Customer,High
1624-NALOJ,1,Male,75,No,Yes,No,No,0,5,None,Fiber Optic,No,No,Yes,Month-to-Month,Bank Withdrawal,89.8,502.6,684.4,1,Churned,Yes,1,88,2960,Other,Moved,United States,California,North Hollywood,91605,34.207295,-118.400022,57146,60,New Customer,High
