Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Services.Tenure in Months,Services.Offer,Services.Internet Type,Services.Premium Tech Support,Services.Streaming TV,Services.Streaming Movies,Services.Contract,Services.Payment Method,Services.Monthly Charge,Services.Total Charges,Services.Total Revenue,Status.Satisfaction Score,Status.Churn Score,Status.CLTV,Age Group,Tenure Group
-0.16222814,0.15092869,0.012395329,0.012011442,-0.03296806,0.10341161,0.025084194,-0.27380025,-0.15110613,0.042129394,0.14593542,-0.09070766,0.051658865,-1.094864,0.17478625,0.018201927,0.1758826,-0.39873755,-6.3218513,0.6547184,0.040819928,-0.050597694,0.053599633
0.07806051,0.039512955,0.0053890124,-0.00070576585,0.020306567,-0.76885605,-0.2898833,-0.20562273,-0.16306174,0.0059638103,-0.2640349,0.090133786,-0.010899938,-0.7330274,0.10792414,-0.4539647,0.32807547,0.01949633,-5.9601555,0.2729702,0.24046892,-0.0030075484,0.06309343
0.018214673,-0.11885481,0.0076582637,-0.0016384433,0.14211632,0.07396384,0.011868407,0.1489121,0.2127592,-0.113699935,0.036689125,-0.20020424,0.018783592,-0.8103276,0.14849412,-0.033822745,0.10454399,-0.10069044,-5.302234,-2.8992198,-0.025298934,-0.013360309,0.07657622
0.10855132,0.061218552,0.0022193177,-0.0018828771,0.17819461,-0.72339445,-0.14560243,-0.40604916,-0.13965367,-0.1329289,0.04873396,-0.0824874,0.03541104,-1.616881,-0.20933802,0.048360933,0.3961827,0.3630453,-1.95574,0.1512857,0.06298916,-0.034689765,0.08109592
0.06921722,0.009379179,0.00021812273,-0.003632654,0.116904885,-0.6883725,-0.018124644,-0.62117136,-0.13531844,-0.07908515,-0.28266886,0.15046565,-0.017492017,-1.3223848,-0.31192616,-0.08890731,-0.6913298,-0.85237056,-2.1389794,0.09611921,-0.2720312,0.016857622,0.041013807
-0.04665312,0.11497071,0.014908338,-0.010799956,-0.1302903,-0.68430054,-0.21347229,-0.29235315,0.066968545,-0.0044827457,0.047071278,-0.13753408,0.10359897,0.3052985,0.14434789,0.107700065,-0.15530238,-0.19661848,-2.4569454,-4.0419393,-0.033423867,-0.046292696,-0.06788387
0.07636073,-0.11290635,0.013278675,-0.0072740633,-0.03323061,0.07273,0.022752276,-0.016173882,0.14891475,0.036527276,0.08375625,-0.010557361,-0.058445275,0.3115266,0.1643427,0.14098622,0.17972168,-0.31936783,-5.280758,-3.5354187,0.01324657,-0.08320704,0.039431
-0.1961305,-0.06995309,0.0240246,-0.0012969975,-0.14250836,0.12899347,0.017615523,0.39358732,-0.14234453,0.05662827,0.060343947,0.2072439,-0.007755975,0.3510027,0.22634877,-0.08326763,0.12478481,0.33446202,-1.2547462,1.248422,0.27543795,-0.035776302,0.011555669
-0.18333164,-0.2555672,-0.19921738,-0.0011928331,-0.07750783,0.07056037,-0.0021492266,0.27996567,-0.13438363,-0.013220429,-0.371805,-0.047669716,-0.0034478188,0.24074422,0.122444026,-0.22466096,-0.2614522,0.2385396,-6.148279,0.08990511,-0.15379977,-0.011237412,-0.028085498
-0.09554216,0.04443726,0.0060047293,-0.00028496253,0.058424555,0.0819152,0.016086856,-0.25719464,-0.20649455,0.02435056,-0.37634543,0.08351549,-0.0126538575,-0.996491,0.1443262,-0.47499594,-0.009079927,-0.13452968,6.9687104,0.40119645,-0.13706893,0.0048557953,0.053434577
0.06677364,-0.29103303,-0.10601536,-0.0025138822,0.23385939,0.10718781,0.016486935,-0.12393472,0.14461894,-0.103740826,0.10116228,0.09566048,-0.009236652,0.21211345,0.10514215,-0.30710608,-0.10173744,-0.05412288,-2.4339607,-4.5998044,-0.43765733,0.050782952,0.07969691
-0.18007164,-0.083081886,-0.040464178,-0.00012429192,0.17991875,0.09360892,0.01296138,-0.23389883,-0.2855788,-0.111678086,0.085459255,-0.12562546,-0.015586459,-0.42771024,0.104930304,-0.3098054,0.108072415,-0.13932711,-6.2790794,0.5726781,-0.3794673,0.089020886,0.032696694
0.02408348,-0.16317467,0.005329414,0.015489006,0.10383627,0.08590489,0.01825994,0.13106377,0.1408983,0.013098862,0.060242195,-0.22984579,-0.027170276,-1.2622572,0.14671838,-0.08735657,-0.41262963,-0.6245699,-2.512535,-4.192487,-0.013269637,-0.105836816,0.067386225
0.010246499,0.144941,0.012822105,-0.0039427835,0.06735736,-0.584633,-0.055200744,0.03940157,-0.10543977,-0.011341464,0.028527476,-0.14657746,0.041017562,0.2062861,0.09615722,0.16904767,-0.2586159,0.19092007,5.27979,3.77466,0.019241156,0.018624771,0.005421485
0.0988961,-0.38662833,-0.02845031,-0.0005679539,0.015040593,0.05376944,0.014276018,-0.39106688,-0.035059404,0.030842619,-0.15233713,0.06025876,-0.01268501,-0.60860026,0.10563931,-0.3411168,0.07236894,-0.1607152,-5.04809,-2.9503527,-0.06911476,0.019718537,0.04750655
0.03653054,0.118690915,0.0034415121,0.007882263,0.032731995,0.05866749,0.019796064,-0.16538398,0.21664023,0.018948106,-0.14298742,0.11723645,-0.015119362,-0.78930277,0.10591022,0.27345023,0.14558692,-0.15770236,-5.2805734,-3.2765467,-0.6062274,-0.05125366,0.054256346
0.14270322,-0.20722926,-0.1234227,-0.0025400617,-0.07247932,0.058618557,0.013482811,0.041200075,-0.07671344,0.049629245,0.04077746,-0.04141841,0.0424673,0.26467192,0.1514863,0.09372391,0.10331506,0.1656625,-5.4357123,-3.462461,0.19047578,0.0408192,0.014873818
0.029428903,-0.42723942,-0.0377518,-0.0013863706,0.10447414,0.06488327,0.019064737,-0.29050297,0.19308591,0.021463662,0.04339433,0.14782523,-0.0008067065,-0.30968922,-0.27134076,0.50520355,-0.012140988,-0.4294723,-5.271109,-3.3137307,-0.014861334,0.035560198,0.056045823
