Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Services.Tenure in Months,Services.Offer,Services.Internet Type,Services.Premium Tech Support,Services.Streaming TV,Services.Streaming Movies,Services.Contract,Services.Payment Method,Services.Monthly Charge,Services.Total Charges,Services.Total Revenue,Status.Satisfaction Score,Status.Churn Value,Status.Churn Score,Status.CLTV,Age Group,Tenure Group
1,78,0,1,0,0,0,1,0,1,0,0,1,0,0,39.65,39.65,59.65,3,1,91,5433,3,3
0,66,0,1,0,0,0,8,5,2,0,1,1,0,1,94.45,742.95,784.63,1,1,83,3676,3,3
1,71,0,1,1,0,0,69,0,2,1,1,1,2,0,109.95,7634.25,8904.54,5,0,63,4297,3,1
0,74,0,1,1,1,1,8,5,2,0,0,0,0,1,80.65,633.3,1024.1,3,1,69,5302,3,3
0,68,0,1,1,0,0,55,0,2,1,0,0,2,0,90.45,5044.8,6283.02,4,0,42,5140,3,1
1,68,0,1,0,0,0,38,0,2,0,1,1,2,0,94.75,3653.0,5391.66,3,0,71,3654,3,2
1,71,0,1,0,1,3,18,4,2,0,1,1,0,0,95.45,1752.55,1910.88,2,1,81,3179,3,0
0,74,0,1,0,0,0,3,0,2,0,0,0,2,0,73.85,196.4,336.35,4,0,74,2868,3,3
0,76,0,1,1,0,0,43,0,2,0,1,0,0,0,94.5,4156.8,4314.18,3,0,32,4745,3,2
1,37,0,0,0,0,0,2,0,1,0,0,0,0,1,53.85,108.15,129.09,1,1,86,3239,1,3
0,78,0,1,1,1,1,25,3,2,0,1,1,0,0,98.5,2514.5,2995.07,2,1,88,5337,3,2
0,79,0,1,1,0,0,53,0,3,0,0,0,2,1,25.1,1275.6,2284.19,3,0,70,5295,3,1
0,70,0,1,1,0,0,72,0,3,0,0,0,2,1,25.7,1937.4,2547.96,3,0,21,5079,3,1
1,40,0,0,0,0,0,14,4,0,1,1,0,0,0,89.95,1178.4,1579.5,2,1,90,5463,1,0
0,19,1,0,1,0,0,3,5,1,0,0,0,0,1,44.3,134.5,267.88,2,1,88,4903,0,3
0,80,0,1,1,1,1,37,3,2,0,0,0,0,0,76.5,2868.15,3102.36,2,1,67,2793,3,2
1,65,0,1,0,0,0,50,0,2,0,1,1,0,0,95.7,4816.7,5762.7,3,1,73,4287,3,1
0,19,1,0,0,1,2,2,0,2,0,0,0,0,0,70.7,151.65,169.89,2,1,67,2701,0,3
0,72,0,1,0,1,1,27,3,2,0,0,0,0,0,78.05,2135.5,2235.41,1,1,95,4638,3,2
0,31,0,0,0,1,2,8,0,0,0,1,1,0,0,99.65,820.5,917.7,3,1,86,5372,1,3
0,76,0,1,1,1,2,1,5,2,0,0,0,0,2,70.45,70.45,85.73,2,1,76,3964,3,3
1,68,0,1,1,0,0,40,0,2,1,1,0,1,1,98.15,4116.8,4694.91,3,0,53,4332,3,2
0,65,0,1,0,0,0,1,5,2,0,1,0,0,0,78.45,78.45,96.82,1,1,67,2139,3,3
1,37,0,0,1,0,0,50,0,2,0,1,1,0,1,105.95,5341.8,6385.8,1,1,79,5536,1,1
1,66,0,1,1,0,0,58,2,1,0,0,1,0,0,45.3,2651.2,2610.25,1,1,91,5444,3,1
0,67,0,1,0,0,0,56,0,2,0,1,1,2,0,104.75,5841.35,7352.67,3,0,35,5128,3,1
0,69,0,1,1,0,0,62,2,1,1,1,1,2,1,79.95,4819.75,6346.19,4,0,54,6488,3,1
0,70,0,1,0,1,2,15,4,2,0,0,0,0,2,74.45,1145.7,1806.75,2,1,91,5717,3,0
0,23,1,0,1,1,3,28,3,2,1,1,1,0,0,104.8,3046.05,3182.97,3,1,84,5003,0,2
0,77,0,1,0,1,2,7,5,2,0,0,0,0,0,76.45,503.6,681.2,2,1,81,4419,3,3
1,70,0,1,1,0,0,24,3,2,0,1,1,0,0,104.25,2433.9,3628.14,1,1,80,2104,3,0
0,69,0,1,1,0,0,65,0,2,0,1,1,2,0,108.8,7082.45,10215.38,5,0,64,5225,3,1
0,78,0,1,0,1,1,11,4,2,0,1,1,0,0,95.0,1120.3,1367.79,1,1,85,5980,3,3
1,75,0,1,0,0,0,5,0,2,0,0,1,0,0,89.8,502.6,684.4,1,1,88,2960,3,3
0,30,0,0,1,0,0,1,5,3,0,0,0,0,0,21.0,21.0,37.66,2,1,90,3753,0,3
1,32,0,0,0,0,0,5,5,2,0,0,0,0,0,69.75,324.6,480.3,1,1,91,3965,1,3
1,65,0,1,0,0,0,15,4,2,0,0,0,0,0,74.4,1074.3,1510.95,1,1,86,4616,3,0
1,71,0,1,1,0,0,66,0,2,1,1,1,1,0,107.35,7051.95,7531.53,4,0,53,4138,3,1
1,44,0,0,1,0,0,51,0,2,0,1,1,0,0,94.65,4812.75,5887.83,1,1,91,4747,1,1
1,77,0,1,1,0,0,1,5,1,0,1,0,0,0,40.2,40.2,40.2,2,1,65,5828,3,3
1,21,1,0,0,0,0,56,0,2,1,0,1,0,0,94.45,5124.6,6547.56,3,1,96,4830,0,1
0,65,0,1,1,1,1,68,0,1,0,1,1,2,0,53.0,3656.25,3656.25,4,0,31,5583,3,1
0,57,0,0,0,0,0,46,0,0,0,1,1,0,0,96.05,4399.5,4763.78,2,1,77,2712,2,2
1,67,0,1,0,0,0,3,5,1,0,0,1,0,0,41.15,132.2,132.2,2,1,96,2314,3,3
1,38,0,0,0,1,1,49,0,2,0,1,1,0,0,103.7,5036.3,7208.47,1,1,89,5340,1,1
1,68,0,1,0,0,0,13,4,0,0,1,1,0,0,106.9,1364.3,1799.14,1,1,84,2494,3,0
0,68,0,1,0,0,0,16,4,2,1,1,1,0,0,94.45,1511.2,1662.08,1,1,81,3810,3,0
1,66,0,1,0,0,0,8,0,2,0,0,0,0,0,74.5,606.55,620.79,2,1,80,4345,3,3
1,74,0,1,1,0,0,18,0,1,0,0,1,2,1,59.1,1011.05,1083.14,3,0,30,2422,3,0
1,69,0,1,0,0,0,24,3,2,0,0,0,0,0,76.1,1712.7,2453.58,2,1,91,2018,3,0
0,74,0,1,0,0,0,4,5,2,0,1,1,0,0,95.45,396.1,522.54,3,1,85,3677,3,3
1,76,0,1,1,0,0,32,3,2,0,0,0,0,0,74.9,2303.35,3818.23,2,1,69,4105,3,2
1,77,0,1,1,0,0,24,3,0,0,1,1,0,0,93.15,2231.05,2617.45,2,1,73,2212,3,0
